set_id,turn_order,action_id,weight,hp_below_pct
goblin_basic,1,front_cleave,1,
goblin_basic,2,random_strike,1,
crystal_knight,1,front_cleave,1,
crystal_knight,2,earth_roar,1,
crystal_knight,3,stack_marker,1,
crystal_knight,4,random_strike,1,
iron_ogre,1,heavy_smash,1,
iron_ogre,2,front_cleave,1,
iron_ogre,3,stack_marker,1,
iron_ogre,4,brutal_cast,1,
iron_ogre,5,earth_roar,1,
iron_ogre,6,crush_armor,1,
iron_ogre,7,random_strike,1,
ember_prophet,1,cinder_drop,1,
ember_prophet,2,wildfire_bait,1,
ember_prophet,3,gravity_crush,1,
ember_prophet,4,furnace_roar,1,
storm_clockwork,1,twin_beam,1,
storm_clockwork,2,clock_tower,1,
storm_clockwork,3,overclock_charge,1,
storm_clockwork,4,twin_beam,1,
plague_chimera,1,toxic_needle,1,
plague_chimera,2,ice_prison,1,
plague_chimera,3,shatter_lock,1,
plague_chimera,4,dragon_voice,1,
